Period,Start.date,N.dates,N.f,N.f.SI,P.SI,Age.mn,Age.rng
1,4/9/2011,9,58,1,0.02,6,2 to 14
2,4/19/2011,9,52,0,0,8,2 to 31
3,5/3/2011,8,70,15,0.21,7,3 to 14
4,5/17/2011,9,87,24,0.28,5,2 to 14
5,5/31/2011,12,90,57,0.63,6,2 to 19
6,6/15/2011,6,39,24,0.62,9,2 to 34
7,6/29/2011,1,2,2,1,21,8 to 34
8,7/13/2011,8,58,46,0.79,8,3 to 28
9,7/26/2011,10,123,82,0.67,6,2 to 22
10,8/9/2011,10,58,36,0.62,7,3 to 21
11,8/23/2011,7,58,38,0.66,5,1 to 15
12,9/10/2011,7,34,10,0.29,6,2 to 24
13,9/20/2011,9,173,40,0.23,5,2 to 25
14,10/4/2011,12,79,8,0.1,6,2 to 22
15,10/19/2011,4,11,1,0.09,7,4 to 9
