CruiseNum,Cruise,Hour,Fmat,HO,POF
1,LA24,0,0,0,0
1,LA24,1,0,0,0
1,LA24,2,0,0,0
1,LA24,3,0,0,0
1,LA24,4,0,0,0
1,LA24,5,1,0,1
1,LA24,6,0,0,0
1,LA24,7,3,0,1
1,LA24,8,1,0,0
1,LA24,9,2,1,0
1,LA24,10,2,2,0
1,LA24,11,2,2,0
1,LA24,12,0,0,0
1,LA24,13,1,0,0
1,LA24,14,1,0,1
1,LA24,15,4,1,2
1,LA24,16,1,0,1
1,LA24,17,3,1,1
1,LA24,18,0,0,0
1,LA24,19,3,0,2
1,LA24,20,0,0,0
1,LA24,21,0,0,0
1,LA24,22,0,0,0
2,AL24,0,3,0,0
2,AL24,1,3,0,1
2,AL24,2,5,0,2
2,AL24,3,0,0,0
2,AL24,4,6,0,2
2,AL24,5,2,0,0
2,AL24,6,3,0,0
2,AL24,7,2,0,0
2,AL24,8,2,0,0
2,AL24,9,0,0,0
2,AL24,10,3,0,1
2,AL24,11,0,0,0
2,AL24,12,0,0,0
2,AL24,13,11,8,1
2,AL24,14,1,1,0
2,AL24,15,10,6,3
2,AL24,16,0,0,0
2,AL24,17,5,0,2
2,AL24,18,6,0,1
2,AL24,19,0,0,0
2,AL24,20,5,0,1
2,AL24,21,3,0,2
2,AL24,22,3,0,2
3,AL14,0,7,0,4
3,AL14,1,1,0,0
3,AL14,2,0,0,0
3,AL14,3,8,0,2
3,AL14,4,6,0,0
3,AL14,5,5,0,1
3,AL14,6,5,0,1
3,AL14,7,0,0,0
3,AL14,8,0,0,0
3,AL14,9,0,0,0
3,AL14,10,0,0,0
3,AL14,11,0,0,0
3,AL14,12,0,0,0
3,AL14,13,0,0,0
3,AL14,14,0,0,0
3,AL14,15,0,0,0
3,AL14,16,0,0,0
3,AL14,17,3,0,3
3,AL14,18,5,0,4
3,AL14,19,2,0,2
3,AL14,20,4,0,4
3,AL14,21,6,0,5
3,AL14,22,6,0,4
