Source,Date,Month,TL,TW,SW,Age,fb
FWRI,4/19/2012,4,726,6040,5828.8,6,1521913.732
FWRI,4/20/2012,4,846,10290,9350.7,11,4240404.113
FWRI,5/15/2012,5,679,6150,6005.2,6,364939.0099
FWRI,5/15/2012,5,739,6830,6623.9,6,813434.2834
FWRI,5/15/2012,5,665,4956,4685.1,7,1054868.182
FWRI,5/15/2012,5,709,6310,6017.5,6,1666102.941
FWRI,5/15/2012,5,698,6250,5887.8,,1652621.516
FWRI,5/16/2012,5,756,6910,6371,6,2686021.797
FWRI,5/17/2012,5,768,6750,6165.4,7,3710818.095
FWRI,5/22/2012,5,460,1436,1403.2,3,143336
FWRI,5/22/2012,5,447,1374,1347.1,3,198723.6847
FWRI,5/22/2012,5,725,5302,4989,5,1213254.071
FWRI,5/22/2012,5,486,630,593.1,3,184134.6535
FWRI,5/23/2012,5,467,1584.7,1517.7,3,208283.7624
FWRI,5/23/2012,5,821,8525,7818,7,1802889.586
FWRI,5/23/2012,5,680,5062,4621.5,6,1575423.273
FWRI,5/24/2012,5,453,1480,1467,3,64957.32323
FWRI,5/24/2012,5,716,5320,5065.4,5,873669.6727
FWRI,5/30/2012,5,723,6360,5793.2,5,1653338.424
FWRI,5/31/2012,5,435,1316,1298.5,2,119595.3431
FWRI,5/31/2012,5,472,1660,1615.6,3,170466.2479
FWRI,5/31/2012,5,471,1570,1518.3,3,317438
FWRI,5/31/2012,5,440,1350,1295.7,3,337197.5152
FWRI,6/4/2012,6,824,8825,8178,7,565149.4557
FWRI,6/4/2012,6,417,1100,1069.1,3,177838.9592
FWRI,6/29/2012,6,391,820.5,807.3,2,48085.71429
FWRI,6/30/2012,6,536,2333,2270.8,3,360760
FWRI,6/30/2012,6,539,2310.3,2211.4,3,671314.9563
FWRI,7/11/2012,7,686,4800,4531.6,7,803152.8345
FWRI,7/12/2012,7,704,5400,5379.9,6,86846.21212
FWRI,7/12/2012,7,587,2632,2534.4,4,85160.78431
FWRI,7/12/2012,7,608,3300,3034.8,4,1134463.806
FWRI,7/12/2012,7,758,6850,6234,6,3035377.652
FWRI,7/17/2012,7,484,1760,1738.1,3,150787.9412
FWRI,7/17/2012,7,774,6700,6330,7,996920.5009
FWRI,7/17/2012,7,722,5680,5443,6,1003927.68
FWRI,7/17/2012,7,479,1534,1474.4,3,338890.2745
FWRI,7/18/2012,7,731,5760,5441.4,5,1753767.112
FWRI,7/24/2012,7,490,1707,1679.7,3,71286.14719
FWRI,7/24/2012,7,465,1514,1459.3,3,265376.2376
FWRI,7/26/2012,7,420,1084,1079.5,,13765.59646
FWRI,7/26/2012,7,394,870,863.2,2,21553.91837
FWRI,7/26/2012,7,659,4105,3843,5,479442.4442
FWRI,8/30/2012,8,709,5650,5171.6,5,1587817.123
SCDNR,,5,712,6050,5692,6,973663
SCDNR,,5,533,2320,2249,3,203868
SCDNR,,5,531,2350,2276.2,3,185607
SCDNR,,6,749,6720,6299,7,2960504
SCDNR,,6,708,6140,5794,7,1835785
SCDNR,,6,688,4650,4341,4,1030410
SCDNR,,6,472,1580,1532,3,238711
SCDNR,,6,409,1114,1091,3,56992
SCDNR,,6,381,907,892,2,51141
SCDNR,,6,394,850,835,3,37614
SCDNR,,6,486,1534,1512,3,62263
SCDNR,,6,438,1366,1291,3,238579
SCDNR,,6,484,1774,1725,4,137676
SCDNR,,7,532,2324,2278.14527,4,218719
SCDNR,,7,391,832,825,2,16470
SCDNR,,7,401,956,930,2,84072
SCDNR,,7,654,4294,4024,4,734798
SCDNR,,7,375,758,741,2,51513
SCDNR,,8,755,6800,6166,6,2274867
SCDNR,,8,732,5802,5563,7,959938
SCDNR,,8,565,2711,2517,4,647220
SCDNR,,8,862,11830,11380,15,1789339
SCDNR,,8,840,8980,8575,13,752360
SCDNR,,8,746,5396,5241,6,782552
SCDNR,,9,737,5040,4872,8,645312
